Airline,Market,All_Detected_Brands,Identified_Basic_Economy_Brand,Confidence_Level,BE_Score
AA,PHX-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-SEA,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,PHX-SFO,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, MAIN CABIN|Unknown, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",MAIN CABIN,High,75
AA,PIT-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,RSW-CLT,ECONOMY,ECONOMY,High,75
AA,SAN-DFW,Basic Economy,Basic Economy,High,75
AA,SAT-DFW,"Basic Economy, ECONOMY",Basic Economy,High,75
AA,SEA-DFW,"Basic Economy, ECONOMY, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-LAX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-MIA,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-ORD,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-PHL,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-PHX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SFO-DFW,Basic Economy,Basic Economy,High,75
AA,SFO-JFK,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SFO-LAX,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Unknown|MAIN CABIN, Unknown|MAIN CABIN FLEXIBLE, Unknown|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, Unknown|MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,SFO-ORD,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Unknown|MAIN CABIN, Unknown|MAIN CABIN FLEXIBLE",MAIN CABIN,High,75
AA,SFO-PHX,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Main Cabin, Main Cabin Flexible, Main Plus, Main Select, Unknown|MAIN CABIN, Unknown|MAIN CABIN FLEXIBLE, Unknown|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, Unknown|MAIN CABIN|MAIN CABIN",Basic Economy,High,75
AA,SLC-DFW,Basic Economy,Basic Economy,High,75
AA,SNA-DFW,ECONOMY,ECONOMY,High,75
AA,SYR-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,TLH-MIA,MAIN CABIN,MAIN CABIN,High,75
AA,TPA-CLT,ECONOMY,ECONOMY,High,75
AA,TPA-DFW,Basic Economy,Basic Economy,High,75
AA,TPA-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,TUS-DFW,ECONOMY,ECONOMY,High,75
AA,TVC-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AS,ANC-ORD,"MAIN, MAIN|ECONOMY, MAIN|MAIN, MAIN|MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|ECONOMY FULLY REFUNDABLE, REFUNDABLE MAIN|REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN|ECONOMY FULLY REFUNDABLE, REFUNDABLE MAIN|REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,DFW-SEA,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,JFK-SFO,"DELTA MAIN, MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,ORD-SFO,"MAIN|MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER|SAVER",SAVER|SAVER,High,95
